Rank,Player,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A
918,Angelo Fulgini,fr FRA,MF,Lens,fr Ligue 1,26,1996,29,16,1376,15.3,1,2,3
919,Niclas Fullkrug,de GER,FW,Werder Bremen,de Bundesliga,30,1993,2,2,180,2,0,0,0
920,Niclas Fullkrug,de GER,FW,Dortmund,de Bundesliga,30,1993,29,27,2212,24.6,12,8,20
921,Gerardo Fusco,it ITA,FW,Salernitana,it Serie A,18,2005,1,0,15,0.2,0,0,0
922,Daniel Fuzato,br BRA,GK,Getafe,es La Liga,26,1997,1,0,7,0.1,0,0,0
923,Matteo Gabbia,it ITA,DF,Milan,it Serie A,23,1999,18,14,1275,14.2,2,1,3
924,Matteo Gabbia,it ITA,DF,Villarreal,es La Liga,23,1999,7,6,477,5.3,0,0,0
925,Gianluca Gaetano,it ITA,"FW,MF",Cagliari,it Serie A,23,2000,11,10,745,8.3,4,1,5
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
926,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,23,2000,9,1,161,1.8,1,0,1
927,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,29,1994,33,29,2360,26.2,1,2,3
928,Cody Gakpo,nl NED,"FW,MF",Liverpool,eng Premier League,24,1999,35,17,1649,18.3,8,5,13
929,Javi Galan,es ESP,DF,Atletico Madrid,es La Liga,28,1994,5,0,88,1,0,0,0
930,Javi Galan,es ESP,DF,Real Sociedad,es La Liga,28,1994,14,13,1075,11.9,0,1,1
931,Inigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,29,1993,29,25,2091,23.2,1,1,2
932,Pablo Galdames Millan,cl CHI,"MF,DF",Genoa,it Serie A,26,1996,2,0,11,0.1,0,0,0
933,Conor Gallagher,eng ENG,MF,Chelsea,eng Premier League,23,2000,37,37,3128,34.8,5,7,12
934,Antonino Gallo,it ITA,DF,Lecce,it Serie A,23,2000,35,30,2490,27.7,0,3,3
935,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,33,1989,22,12,1187,13.2,0,1,1
